sample_id	GEX	CITE	TCR	BCR
A1-PBMC	CV001_KM9166541	CV001_KM9166568	CV001_KM9166550	CV001_KM9166559
A2-PBMC	CV001_KM9166542	CV001_KM9166569	CV001_KM9166551	CV001_KM9166560
B1-PBMC	CV001_KM9166543	CV001_KM9166570	CV001_KM9166552	CV001_KM9166561
B2-PBMC	CV001_KM9166544	CV001_KM9166571	CV001_KM9166553	CV001_KM9166562
C1-PBMC	CV001_KM9166545	CV001_KM9166572	CV001_KM9166554	CV001_KM9166563
C2-PBMC	CV001_KM9166546	CV001_KM9166573	CV001_KM9166555	CV001_KM9166564
D1-PBMC	CV001_KM9166547	CV001_KM9166574	CV001_KM9166556	CV001_KM9166565
D2-PBMC	CV001_KM9166548	CV001_KM9166575	CV001_KM9166557	CV001_KM9166566
E1-PBMC	CV001_KM9166637	CV001_KM9166645	CV001_KM9166653	CV001_KM9166661
E2-PBMC	CV001_KM9166638	CV001_KM9166646	CV001_KM9166654	CV001_KM9166662
F1-PBMC	CV001_KM9166639	CV001_KM9166647	CV001_KM9166655	CV001_KM9166663
F2-PBMC	CV001_KM9166640	CV001_KM9166648	CV001_KM9166656	CV001_KM9166664
G1-PBMC	CV001_KM9166641	CV001_KM9166649	CV001_KM9166657	NA
G2-PBMC	CV001_KM9166642	CV001_KM9166650	CV001_KM9166658	CV001_KM9166665
CS1A-PBMC	CV001_KM9294395	CV001_KM9294403	NA	NA
CS1B-PBMC	CV001_KM9294396	CV001_KM9294404	NA	NA
PA1-PBMC	CV001_KM9294108	CV001_KM9294123	CV001_KM9294132	CV001_KM9294148
PA2-PBMC	CV001_KM9294109	CV001_KM9294124	CV001_KM9294133	CV001_KM9294149
PB1-PBMC	CV001_KM9294103	CV001_KM9294119	CV001_KM9294127	CV001_KM9294143
PB2-PBMC	CV001_KM9294104	CV001_KM9294120	CV001_KM9294128	CV001_KM9294144
PC1-PBMC	CV001_KM9294110	CV001_KM9294125	CV001_KM9294134	CV001_KM9294150
PC2-PBMC	CV001_KM9294111	CV001_KM9294126	CV001_KM9294135	CV001_KM9294151
PD1-PBMC	CV001_KM9166643	CV001_KM9166651	CV001_KM9166659	CV001_KM9166666
PD2-PBMC	CV001_KM9166644	CV001_KM9166652	CV001_KM9166660	CV001_KM9166667
PE1-PBMC	CV001_KM9294105	CV001_KM9294121	CV001_KM9294129	CV001_KM9294145
PE2-PBMC	CV001_KM9294106	CV001_KM9294122	CV001_KM9294130	CV001_KM9294146
PG1-PBMC	CV001_KM9294295	CV001_KM9294306	CV001_KM9294300	CV001_KM9294303
PG2-PBMC	CV001_KM9294296	CV001_KM9294307	CV001_KM9294301	CV001_KM9294304
H2-PBMC	CV001_KM9465281	CV001_KM9465393	CV001_KM10202477	CV001_KM10202498
J2-PBMC	CV001_KM9465379	CV001_KM9465394	CV001_KM10202479	CV001_KM10202500
K1-PBMC	CV001_KM9465380	CV001_KM9465395	CV001_KM10202480	CV001_KM10202501
J1-PBMC	CV001_KM10202384	CV001_KM10202394	CV001_KM10202478	CV001_KM10202499
K2-PBMC	CV001_KM10202385	CV001_KM10202395	CV001_KM10202481	CV001_KM10202502
L1-PBMC	CV001_KM10202386	CV001_KM10202396	CV001_KM10202482	CV001_KM10202503
L2-PBMC	CV001_KM10202387	CV001_KM10202397	CV001_KM10202483	CV001_KM10202504
M1-PBMC	CV001_KM10202388	CV001_KM10202398	CV001_KM10202484	CV001_KM10202505
M2-PBMC	CV001_KM10202389	CV001_KM10202399	CV001_KM10202485	CV001_KM10202506
N1-PBMC	CV001_KM10202390	CV001_KM10202400	CV001_KM10202486	CV001_KM10202507
N2-PBMC	CV001_KM10202391	CV001_KM10202401	CV001_KM10202487	CV001_KM10202508
O1-PBMC	CV001_KM10202392	CV001_KM10202402	CV001_KM10202488	CV001_KM10202509
O2-PBMC	CV001_KM10202393	CV001_KM10202403	NA	NA
P1-PBMC	CV001_KM10202404	CV001_KM10202416	CV001_KM10202408	CV001_KM10202412
P2-PBMC	CV001_KM10202405	CV001_KM10202417	CV001_KM10202409	CV001_KM10202413
Q3-PBMC	CV001_KM10202406	CV001_KM10202418	CV001_KM10202410	CV001_KM10202414
Q4-PBMC	CV001_KM10202407	CV001_KM10202419	CV001_KM10202411	CV001_KM10202415
